Term	Category
challenge	Negativ
prejudice	Negativ
confound	Negativ
amaze	Arousal
acrimony	Negativ
rage	Negativ
shy	EMOT
mind	Negativ
suit	Legal
annoyance	Negativ
affection	Positiv
heart	Positiv
restraint	Arousal
puzzlement	Negativ
surprise	Virtue
heat	Arousal
suspense	Arousal
suspicious	Negativ
preoccupation	Arousal
will	Legal
insistent	Positiv
aversion	Negativ
swoon	Positiv
coolness	Negativ
interest	Econ@
cocky	Negativ
enjoyment	Positiv
fickle	Negativ
desire	Negativ
certain	Virtue
solemn	Relig
indifferent	Negativ
callous	Negativ
collect	Virtue
religious	Relig
scornful	Negativ
controversy	Negativ
desolation	Negativ
fierce	Negativ
crazy	Negativ
doubt	Negativ
alienation	Negativ
courage	Positiv
creative	Exprsv
haughty	Negativ
hopeful	Positiv
mix	Negativ
admirer	Positiv
long	EMOT
spiteful	Negativ
moody	Negativ
warmth	Positiv
faith	Relig
sick	Negativ
compassionate	Positiv
enrage	Negativ
wish	EMOT
motivated	Positiv
compassion	Positiv
gall	Negativ
detest	Negativ
ferocious	Negativ
curious	EMOT
shameless	Negativ
heartless	Negativ
aggressive	Negativ
curiosity	EMOT
contempt	Negativ
friendly	Positiv
almighty	Positiv
scorn	Negativ
desirable	Positiv
courtly	Polit@
elegant	Positiv
magnificence	Positiv
authenticity	Positiv
clean	Positiv
honorable	Positiv
talented	Positiv
equitable	Positiv
grace	Relig
enjoyable	Positiv
reputable	Positiv
note	Virtue
adaptive	Positiv
handy	Positiv
adaptability	Positiv
bonny	Positiv
just	Legal
majesty	Positiv
expert	Positiv
vigor	Virtue
spare	Positiv
treat	Positiv
consistency	Positiv
fortitude	Positiv
invincible	Positiv
overture	Virtue
profound	Positiv
innocent	Legal
allure	Positiv
amiable	Positiv
scrupulous	Positiv
plausible	Virtue
toleration	Positiv
fine	Econ@
must	Virtue
productive	Econ@
resourcefulness	Positiv
decent	Positiv
reform	Polit@
cooperative	Econ@
earth	Virtue
benevolent	Econ@
pretty	Positiv
modernization	Virtue
fellowship	Positiv
sacred	Relig
skill	Positiv
practical	Positiv
fit	Positiv
stately	Positiv
ingenious	Positiv
potentiality	Virtue
significant	Positiv
victorious	Positiv
humanitarian	Polit@
tolerant	Positiv
magnificent	Positiv
coordination	Positiv
mighty	Positiv
lead	Positiv
undaunted	Virtue
foresight	Positiv
appropriate	Positiv
lucky	Positiv
accurate	Positiv
luckily	Positiv
heavenly	Relig
adjustment	Positiv
imaginative	Exprsv
likable	Positiv
trustworthy	Positiv
influential	Virtue
taste	Exprsv
fruitful	Positiv
loyal	Polit@
versatile	Positiv
intellectual	Academ
establish	Positiv
flair	Positiv
angelic	Relig
stylish	Positiv
brotherhood	Positiv
spotless	Positiv
athletic	Exprsv
cautious	Virtue
precise	Positiv
best	Positiv
lawful	Legal
accustom	Virtue
amiability	Positiv
round	Positiv
economical	Econ@
tolerance	Positiv
tremendous	Positiv
satisfactorily	Positiv
progressive	Positiv
decency	Positiv
dear	Positiv
benign	Positiv
standard	Virtue
foremost	Positiv
exceptional	Virtue
vigorous	Virtue
adornment	Positiv
evaluation	Virtue
amicable	Positiv
providence	Relig
thoughtful	Positiv
precious	Econ@
valiant	Positiv
resplendent	Positiv
ethical	Positiv
suave	Positiv
adequate	Positiv
board	Academ
darling	Positiv
valid	Positiv
divine	Relig
supreme	Legal
innocence	Positiv
surplus	Econ@
affable	Positiv
luck	Positiv
generous	Positiv
cherish	Positiv
persistent	Virtue
workable	Positiv
free	Positiv
constructive	Positiv
rich	Econ@
benevolence	Econ@
splendor	Positiv
supply	Econ@
freedom	Polit@
viable	Positiv
start	Virtue
road	Polit@
faithfulness	Positiv
influence	Virtue
chaste	Positiv
keen	Positiv
adaptation	Positiv
health	Positiv
astute	Positiv
pinnacle	Positiv
sound	Positiv
sufficient	Positiv
ambition	Virtue
accuracy	Positiv
eligible	Virtue
courageous	Positiv
noble	Positiv
paramount	Positiv
moral	Positiv
untouched	Positiv
generosity	Econ@
meaningful	Positiv
godliness	Positiv
normal	Positiv
justification	Positiv
objective	Positiv
wonderful	Positiv
apt	Positiv
beacon	Positiv
thorough	Positiv
luxury	Econ@
cleanliness	Positiv
worth	Econ@
compensation	Positiv
dynamic	Positiv
strength	Virtue
clever	Positiv
accommodation	Positiv
miraculous	Relig
manly	Positiv
baby	Econ@
help	Negativ
fancy	Positiv
better	Positiv
protection	Positiv
train	Positiv
aid	Positiv
chivalrous	Positiv
intelligence	Academ
adroitly	Positiv
reliability	Positiv
understandable	Positiv
talent	Positiv
vital	Virtue
affability	Positiv
infallible	Positiv
considerate	Positiv
accurateness	Positiv
improve	Positiv
sophisticated	Positiv
advantageous	Positiv
intellect	Academ
priceless	Econ@
beauty	Positiv
adjust	Positiv
ability	Positiv
funny	Positiv
integrity	Positiv
correct	Positiv
casual	Positiv
fortune	Econ@
handsome	Positiv
straight	Positiv
sanitary	Positiv
hit	Negativ
simplicity	Positiv
legitimate	Legal
outstanding	Positiv
splendid	Positiv
faithful	Relig
duty	Negativ
precision	Positiv
liberal	Academ
rather	Virtue
essential	Positiv
autonomy	Virtue
glorious	Positiv
conventional	Virtue
virtuous	Positiv
common	Econ@
profitable	Econ@
quaint	Positiv
bold	Virtue
perfect	Positiv
own	Econ@
power	Polit@
famous	Positiv
deep	Virtue
accessible	Positiv
soundness	Positiv
assistance	Positiv
sincere	Positiv
unbroken	Positiv
quality	Positiv
capable	Positiv
well	Positiv
selective	Positiv
solidarity	Virtue
basic	Positiv
impressive	Positiv
collaboration	Positiv
immaculate	Positiv
undoubtedly	Positiv
excellence	Positiv
infallibility	Positiv
promptly	Positiv
preferably	Virtue
supernatural	Relig
completeness	Positiv
satisfactory	Positiv
opportune	Positiv
progress	Positiv
skillful	Positiv
courteous	Positiv
compatible	Positiv
hospitable	Positiv
respectful	Positiv
charm	Positiv
altruistic	Positiv
shrewd	Positiv
buy	Econ@
careful	Positiv
safety	Positiv
sensational	Positiv
eminent	Positiv
ideal	Positiv
honest	Positiv
humble	Positiv
wit	Virtue
chivalry	Positiv
simplify	Positiv
emancipation	Polit@
enlighten	Positiv
courtesy	Positiv
democracy	Polit@
boldness	Positiv
encourage	Positiv
premium	Positiv
reasonable	Positiv
available	Virtue
virtue	Positiv
resourceful	Positiv
agile	Positiv
harmony	Positiv
discipline	Virtue
popular	Positiv
harmless	Positiv
invite	Positiv
character	Exprsv
dedicate	Positiv
admirable	Positiv
adult	Positiv
demand	Vice
merit	Positiv
neat	Positiv
learn	Academ
versatility	Positiv
kind	Positiv
treasure	Econ@
right	Legal
suitable	Positiv
dedication	Positiv
respectable	Positiv
suffrage	Polit@
strenuous	Virtue
prominent	Positiv
favorable	Positiv
salvation	Relig
goodness	Positiv
sensible	Positiv
divinity	Relig
sumptuous	Positiv
rare	Virtue
usefulness	Positiv
wealthy	Econ@
leisure	Exprsv
unity	Positiv
mint	Positiv
diligent	Positiv
doubtless	Positiv
advance	Positiv
fluent	Positiv
friendship	Positiv
honor	Positiv
lovely	Positiv
majestic	Positiv
remarkably	Positiv
heroism	Positiv
support	Positiv
peaceful	Positiv
fortunate	Positiv
gracious	Positiv
tact	Positiv
super	Positiv
palatial	Positiv
spontaneous	Virtue
frank	Positiv
share	Positiv
sweet	Positiv
authentic	Positiv
positive	Positiv
due	Econ@
approve	Positiv
culture	Positiv
acclamation	Positiv
usable	Positiv
experience	Positiv
civility	Positiv
equality	Polit@
consistent	Positiv
commendable	Positiv
terrific	Positiv
wisdom	Academ
forgiveness	Positiv
competitive	Negativ
pure	Positiv
attractive	Positiv
purify	Positiv
marvelous	Positiv
venerable	Positiv
safe	Positiv
gentle	Positiv
advantage	Positiv
daring	Positiv
prestige	Positiv
productivity	Econ@
superiority	Positiv
punctual	Positiv
independent	Polit@
pertinent	Positiv
noteworthy	Virtue
sport	Exprsv
important	Positiv
prudent	Positiv
open	Positiv
heroic	Positiv
eloquent	Exprsv
favorite	Positiv
rescue	Positiv
security	Econ@
truth	Positiv
credit	Academ
merciful	Positiv
bless	Relig
gallantry	Positiv
perfection	Positiv
promise	Positiv
perseverance	Positiv
humility	Positiv
elegance	Positiv
practicable	Positiv
sincerity	Positiv
control	Virtue
spectacular	Positiv
palatable	Positiv
sociable	Positiv
service	Milit
organize	Positiv
indisputable	Virtue
regal	Positiv
obligation	Virtue
dignity	Positiv
cherub	Positiv
wholesome	Positiv
reward	Econ@
beneficent	Positiv
charity	Econ@
congenial	Positiv
validity	Positiv
vitality	Positiv
affinity	Positiv
opportunity	Positiv
polite	Positiv
real	Econ@
holy	Relig
cultivate	Positiv
flawless	Positiv
assist	Positiv
shrewdness	Positiv
nice	Positiv
popularity	Positiv
authoritative	Legal
thoughtfulness	Positiv
unimpeachable	Polit@
availability	Positiv
truthful	Positiv
miracle	Relig
unselfish	Positiv
charitable	Econ@
competence	Positiv
propitious	Positiv
aptitude	Positiv
chosen	Positiv
moderate	Positiv
helpful	Positiv
superior	Positiv
composure	Positiv
refinement	Positiv
spiritual	Relig
trustworthiness	Positiv
good	Positiv
healthful	Positiv
cover	Virtue
exact	Positiv
behalf	Positiv
enchant	Positiv
fantastic	Positiv
conviction	Positiv
encouragement	Positiv
absolute	Virtue
discretion	Positiv
acclaim	Positiv
alertness	Positiv
proper	Positiv
purity	Positiv
reliable	Positiv
valor	Positiv
genuine	Positiv
stability	Positiv
glory	Positiv
contemplation	Virtue
adept	Positiv
fairness	Positiv
bravery	Positiv
efficiency	Positiv
hardy	Positiv
gallant	Positiv
conformity	Virtue
discreet	Positiv
beneficial	Positiv
graceful	Positiv
useful	Positiv
blameless	Legal
cooperation	Positiv
convenient	Virtue
conscience	Positiv
principle	Legal
mature	Positiv
supremacy	Virtue
vivacious	Positiv
busy	Virtue
loyalty	Polit@
grown	Virtue
patience	Positiv
adroit	Positiv
allegiance	Positiv
purification	Positiv
privilege	Virtue
responsible	Positiv
benefactor	Econ@
effectiveness	Positiv
competent	Positiv
agility	Positiv
subtle	Positiv
fair	Exprsv
educated	Academ
able	Positiv
lot	Virtue
take	Virtue
prove	Virtue
acceptable	Positiv
efficient	Positiv
kindness	Positiv
gifted	Positiv
invulnerable	Positiv
remarkable	Positiv
prosperity	Positiv
brave	Positiv
special	Positiv
legitimacy	Legal
smash	Negativ
renown	Positiv
cordial	Positiv
effective	Positiv
peace	Positiv
decisive	Virtue
amenable	Positiv
veritable	Positiv
valuable	Econ@
convenience	Virtue
extraordinary	Positiv
sane	Positiv
efficacy	Positiv
alight	Positiv
prime	Positiv
actual	Positiv
adaptable	Positiv
loveliness	Positiv
justifiably	Positiv
angel	Relig
modest	Positiv
exclusive	Virtue
healthy	Positiv
easy	Positiv
condition	Virtue
inspire	Positiv
conscientious	Positiv
salutary	Positiv
prettily	Positiv
greatness	Positiv
wise	Academ
politeness	Positiv
accolade	Positiv
improvement	Positiv
ball	Exprsv
return	Econ@
mercy	Positiv
use	Econ@
worthy	Positiv
actuality	Positiv
meritorious	Econ@
prudence	Positiv
adorable	Positiv
significance	Positiv
typical	Virtue
grand	Positiv
distinguish	Positiv
intelligent	Positiv
solace	Positiv
sure	Virtue
prompt	Positiv
pious	Relig
excellent	Positiv
commitment	Positiv
superlative	Positiv
ambitious	Virtue
cut	Negativ
dependable	Positiv
cute	Positiv
guidance	Virtue
qualify	Positiv
rational	Academ
arrest	Legal
stupendous	Positiv
capital	Econ@
patient	Positiv
indispensability	Positiv
potential	Virtue
might	Polit@
refine	Positiv
responsibility	Positiv
powerful	Polit@
undoubted	Positiv
beat	Exprsv
injury	Negativ
avaricious	Negativ
detachment	Negativ
discord	Negativ
cruelty	Negativ
negative	Negativ
threat	Negativ
danger	Negativ
risky	Negativ
amiss	Negativ
ungrateful	Negativ
repulsive	Negativ
stigma	Negativ
complication	Negativ
deficient	Negativ
disdain	Negativ
clumsy	Negativ
grave	Relig
childish	Negativ
penalty	Legal
impersonal	Negativ
detrimental	Negativ
force	Milit
dire	Negativ
disadvantageous	Negativ
confusion	Negativ
abuse	Negativ
careless	Negativ
immoral	Negativ
lack	Negativ
indecisive	Vice
delinquency	Negativ
sloth	Negativ
redundant	Negativ
unable	Vice
prohibitive	Negativ
contamination	Negativ
brute	Negativ
deplorable	Negativ
instability	Negativ
pest	Negativ
superficial	Negativ
peculiar	Negativ
agitation	Negativ
capricious	Negativ
bondage	Negativ
delirium	Negativ
dubious	Negativ
madman	Negativ
difficulty	Negativ
serve	Econ@
stale	Negativ
wrong	Negativ
ruinous	Negativ
double	Negativ
instable	Negativ
impulsive	Negativ
disastrous	Negativ
radical	Polit@
hapless	Negativ
detestable	Negativ
naive	Negativ
envy	Negativ
front	Negativ
treacherous	Negativ
unfavorable	Negativ
condemnation	Negativ
adultery	Negativ
defect	Negativ
oversight	Negativ
pollution	Negativ
primitive	Vice
impatient	Negativ
symptom	Negativ
fanatical	Negativ
audacity	Negativ
unclean	Negativ
hack	Negativ
outrageous	Negativ
menace	Negativ
load	Negativ
domination	Negativ
untrustworthy	Negativ
rejection	Negativ
ordeal	Negativ
audacious	Negativ
desertion	Negativ
slug	Negativ
dominant	Vice
crisis	Negativ
superficiality	Negativ
reprehensible	Negativ
impurity	Negativ
divorce	Legal
questionable	Negativ
boastful	Negativ
unreliable	Negativ
unrest	Negativ
futility	Negativ
corrupt	Econ@
drunkard	Negativ
dissent	Negativ
ironic	Negativ
worn	Negativ
indecision	Vice
immorality	Negativ
difficult	Negativ
inability	Negativ
arrogant	Negativ
bane	Negativ
infiltration	Negativ
limitation	Negativ
unlucky	Negativ
false	Negativ
rigorous	Negativ
devastation	Negativ
unnecessary	Negativ
animosity	Negativ
unfortunate	Negativ
carelessness	Negativ
dreary	Negativ
unsure	Vice
corruption	Negativ
refuse	Negativ
poverty	Econ@
horrid	Negativ
litter	Negativ
confuse	Negativ
indefinite	Negativ
discrimination	Vice
alarming	Negativ
consternation	Negativ
deadly	Negativ
suicide	Vice
disapproval	Negativ
absentee	Negativ
spot	Negativ
bleak	Negativ
damnable	Negativ
decadence	Negativ
unkind	Negativ
unwise	Negativ
plague	Negativ
roughness	Negativ
timid	Vice
bothersome	Negativ
repugnant	Negativ
painful	Negativ
stuffy	Negativ
preposterous	Negativ
precarious	Negativ
undependable	Negativ
extravagant	Econ@
craze	Negativ
beside	Vice
commotion	Negativ
assault	Negativ
hole	Econ@
trick	Negativ
regression	Negativ
notorious	Negativ
inferior	Negativ
carry	Vice
degenerate	Negativ
selfish	Negativ
skeptical	Negativ
crime	Legal
involve	Negativ
impure	Negativ
unsound	Negativ
vicious	Negativ
incapable	Negativ
deceit	Negativ
homely	Negativ
bizarre	Negativ
inaccessible	Negativ
diseased	Negativ
annihilation	Negativ
sickness	Negativ
despicable	Negativ
bore	Negativ
atrocious	Negativ
hesitant	Vice
roundabout	Negativ
deceitful	Negativ
sour	Negativ
shaggy	Negativ
barbarian	Negativ
broke	Econ@
helplessness	Negativ
untrue	Negativ
murder	Negativ
fussy	Negativ
hand	Negativ
blemish	Negativ
uncouth	Negativ
attack	Negativ
dope	Negativ
headache	Negativ
timidity	Negativ
inane	Negativ
irony	Negativ
vile	Negativ
cheater	Negativ
ignorance	Negativ
infamous	Negativ
fight	Milit
intervention	Milit
badly	Negativ
cynical	Negativ
conceit	Negativ
disobedient	Negativ
perilous	Negativ
affectation	Negativ
appall	Negativ
harm	Negativ
sin	Relig
boast	Negativ
dreadful	Negativ
insignificant	Negativ
crook	Negativ
sketchy	Negativ
bad	Negativ
presumptuous	Negativ
blame	Negativ
unjust	Legal
worse	Negativ
short	Negativ
boredom	Negativ
burn	Negativ
delusion	Negativ
condescension	Negativ
fracture	Negativ
sickly	Negativ
cheap	Econ@
crooked	Negativ
embarrassment	Negativ
sunburn	Vice
unstable	Negativ
unemployed	Econ@
injurious	Negativ
disruption	Negativ
petty	Negativ
horrible	Negativ
trauma	Negativ
unsatisfactory	Negativ
weakness	Vice
culprit	Negativ
grim	Negativ
reckless	Negativ
equivocal	Negativ
ingratitude	Negativ
meaningless	Negativ
abnormal	Negativ
stupidity	Negativ
limit	Negativ
destructive	Negativ
perverse	Negativ
ruin	Negativ
arduous	Negativ
shortcoming	Negativ
nonsense	Negativ
unpleasant	Negativ
unemployment	Econ@
beastly	Negativ
damned	Negativ
harsh	Negativ
nuisance	Negativ
unprepared	Vice
idiot	Negativ
tiresome	Negativ
unfit	Negativ
invalid	Negativ
fruitless	Negativ
adulteration	Negativ
circle	Negativ
queer	Negativ
blind	Negativ
indecent	Negativ
violent	Negativ
filth	Negativ
idle	Vice
defiance	Negativ
dependence	Vice
deadweight	Negativ
unchecked	Vice
cold	Polit@
catch	Negativ
complicity	Negativ
fail	Negativ
grotesque	Negativ
bankruptcy	Econ@
expensive	Econ@
offensive	Negativ
recalcitrant	Negativ
matter	Negativ
insecure	Negativ
aggressiveness	Negativ
disgrace	Negativ
bereavement	Negativ
derision	Negativ
disputable	Legal
inhibition	Negativ
drunken	Negativ
negligent	Legal
sluggish	Negativ
bound	Negativ
delinquent	Negativ
confrontation	Negativ
illegal	Legal
foolish	Negativ
deaf	Negativ
rupture	Negativ
formidable	Negativ
bow	Milit
recklessness	Negativ
harmful	Negativ
sly	Negativ
contemptible	Negativ
incompatibility	Negativ
barbarous	Negativ
troublesome	Negativ
coercion	Negativ
hectic	Negativ
ridiculous	Negativ
pervert	Negativ
impediment	Negativ
unjustified	Negativ
drunk	Negativ
lazy	Negativ
mundane	Negativ
strict	Negativ
rude	Negativ
filthy	Negativ
temptation	Negativ
insane	Negativ
stupid	Negativ
monotonous	Negativ
severity	Negativ
unsoundness	Vice
incompatible	Negativ
lost	Negativ
costly	Econ@
clutter	Negativ
confinement	Negativ
unfaithful	Negativ
scum	Negativ
crafty	Negativ
dilemma	Negativ
wrought	Negativ
strike	Econ@
hazardous	Negativ
liquidation	Econ@
stubborn	Negativ
undue	Negativ
unfriendly	Negativ
unqualified	Negativ
dissention	Negativ
handicap	Negativ
idiotic	Negativ
void	Negativ
discouragement	Negativ
unpopular	Negativ
misbehavior	Negativ
hesitation	Vice
bankrupt	Econ@
burglary	Negativ
foreign	Negativ
feeble	Negativ
abject	Negativ
error	Negativ
misfortune	Negativ
horn	Exprsv
adverse	Negativ
negation	Negativ
irrational	Negativ
unclear	Negativ
foolishness	Negativ
doubtful	Negativ
puny	Negativ
cancer	Negativ
dunce	Negativ
rat	Negativ
deficiency	Negativ
restrict	Negativ
defeat	Negativ
inexact	Negativ
vice	Legal
pinch	Negativ
unauthentic	Negativ
illegality	Legal
chaos	Negativ
disturbance	Negativ
fanatic	Negativ
aggression	Negativ
